id,text,label,image_path,clip_similarity,visual_label
42953,its their character not their color that matters,0,data/raw/hateful_memes_images/42953.png,0.23856067657470703,a neutral image
23058,don't be afraid to love again everyone is not like your ex,0,data/raw/hateful_memes_images/23058.png,0.31103548407554626,a meme about us (in-group)
13894,putting bows on your pet,0,data/raw/hateful_memes_images/13894.png,0.2940499782562256,a neutral image
37408,i love everything and everybody! except for squirrels i hate squirrels,0,data/raw/hateful_memes_images/37408.png,0.2028438299894333,a neutral image
82403,"everybody loves chocolate chip cookies, even hitler",0,data/raw/hateful_memes_images/82403.png,0.36552202701568604,a meme about us (in-group)
16952,go sports! do the thing! win the points!,0,data/raw/hateful_memes_images/16952.png,0.26548030972480774,a meme about them (out-group)
76932,fine you're right. now can we fucking drop it?,0,data/raw/hateful_memes_images/76932.png,0.26773667335510254,a meme about us (in-group)
70914,tattoos are bad for your health i know 5 million people that had tattoos and they all died,1,data/raw/hateful_memes_images/70914.png,0.3421970009803772,a meme about them (out-group)
2973,how long can i run? till the chain tightens,0,data/raw/hateful_memes_images/02973.png,0.2843729257583618,a meme about us (in-group)
58306,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored",0,data/raw/hateful_memes_images/58306.png,0.25444093346595764,a meme about us (in-group)
79351,jew mad? get fuhrerious!,1,data/raw/hateful_memes_images/79351.png,0.28359970450401306,a neutral image
34096,"removes polish with chemicals, nobody bats an eye",0,data/raw/hateful_memes_images/34096.png,0.2902818024158478,a neutral image
25489,brother... a day without a blast is a day wasted,1,data/raw/hateful_memes_images/25489.png,0.32868054509162903,a meme about them (out-group)
19324,when you're the only dog left at the dog shelter and the black family wants to adopt you,0,data/raw/hateful_memes_images/19324.png,0.2576679289340973,a meme about us (in-group)
79346,voting for hillary is like letting casey anthony watch your kids because she's not guilty,0,data/raw/hateful_memes_images/79346.png,0.2738569974899292,a meme about them (out-group)
13426,they will soon be free,0,data/raw/hateful_memes_images/13426.png,0.3050716817378998,a meme about us (in-group)
97628,"is it ok for your son or daughter to call another man ""daddy?",0,data/raw/hateful_memes_images/97628.png,0.2647753059864044,a neutral image
14238,most religions are religions of peace,0,data/raw/hateful_memes_images/14238.png,0.22881971299648285,a neutral image
28936,when you find out there's an opening for the role of first lady,0,data/raw/hateful_memes_images/28936.png,0.29651349782943726,a meme about us (in-group)
59784,if people reject me because i stand on the truth then i have no problem walking alone,0,data/raw/hateful_memes_images/59784.png,0.37046581506729126,a meme about us (in-group)
2146,from the bottom of my heart i would like to sincerely apologize..... for being white,0,data/raw/hateful_memes_images/02146.png,0.23474055528640747,a meme about them (out-group)
70146,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border",0,data/raw/hateful_memes_images/70146.png,0.3173144459724426,a neutral image
28061,just because they do this dosen't mean they'll do this,0,data/raw/hateful_memes_images/28061.png,0.23600512742996216,a neutral image
97180,if there is no race it can't be homicide,1,data/raw/hateful_memes_images/97180.png,0.3527958393096924,a meme about them (out-group)
49752,here's to all my friends who never post about politics or religion,0,data/raw/hateful_memes_images/49752.png,0.35142794251441956,a meme about us (in-group)
25610,enjoying a day at the beach,0,data/raw/hateful_memes_images/25610.png,0.2760564088821411,a meme about us (in-group)
15872,when you come home from a long day of suicide bombinb and your wife gives you this look,1,data/raw/hateful_memes_images/15872.png,0.30511000752449036,a meme about us (in-group)
